Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-03-21 04:20:00+00:00,368.0,368.0,367.5,367.5,4355,0.0,0.0
2025-03-21 04:25:00+00:00,368.0,368.0,368.0,368.0,1544,0.0,0.0
2025-03-21 04:30:00+00:00,368.0,368.5,368.0,368.5,10087,0.0,0.0
2025-03-21 04:40:00+00:00,369.0,369.0,369.0,369.0,2056,0.0,0.0
2025-03-21 04:45:00+00:00,369.0,369.0,368.5,368.5,25015,0.0,0.0
2025-03-21 04:50:00+00:00,368.0,368.0,368.0,368.0,1000,0.0,0.0
2025-03-21 04:55:00+00:00,368.0,368.5,368.0,368.5,4221,0.0,0.0
2025-03-21 05:00:00+00:00,368.0,368.0,367.5,367.5,18327,0.0,0.0
2025-03-21 05:05:00+00:00,367.5,367.5,367.5,367.5,1157,0.0,0.0
2025-03-21 05:10:00+00:00,367.5,367.5,367.0,367.0,3287,0.0,0.0
2025-03-21 05:15:00+00:00,367.5,369.0,367.5,369.0,13162,0.0,0.0
2025-03-21 05:20:00+00:00,369.0,370.0,367.0,368.0,34112,0.0,0.0
2025-03-24 01:00:00+00:00,365.5,366.0,364.5,364.5,0,0.0,0.0
2025-03-24 01:05:00+00:00,366.0,366.0,366.0,366.0,2177,0.0,0.0
2025-03-24 01:35:00+00:00,364.5,364.5,364.5,364.5,3443,0.0,0.0
2025-03-24 01:40:00+00:00,364.5,364.5,363.5,363.5,10039,0.0,0.0
2025-03-24 01:45:00+00:00,363.5,364.0,363.5,363.5,6108,0.0,0.0
2025-03-24 01:50:00+00:00,363.5,363.5,363.5,363.5,1257,0.0,0.0
2025-03-24 02:00:00+00:00,363.5,363.5,363.5,363.5,1306,0.0,0.0
2025-03-24 02:10:00+00:00,364.0,364.0,364.0,364.0,2106,0.0,0.0
2025-03-24 02:15:00+00:00,364.0,364.0,363.5,363.5,2872,0.0,0.0
2025-03-24 02:50:00+00:00,364.0,364.0,364.0,364.0,1146,0.0,0.0
2025-03-24 03:05:00+00:00,364.5,364.5,364.5,364.5,2006,0.0,0.0
2025-03-24 03:10:00+00:00,365.0,365.0,365.0,365.0,1012,0.0,0.0
2025-03-24 03:15:00+00:00,366.0,366.0,366.0,366.0,1000,0.0,0.0
2025-03-24 03:20:00+00:00,364.5,364.5,364.5,364.5,3111,0.0,0.0
